question_id	scenario_id	type	category	question_text	image_url	option_A	option_B	option_C	option_D	correct_option	explanation	tags	
Q_01	CASE_01	MCQ	Oral Pathology	Based on the clinical triad of symptoms presented in the patient's history and exam, what is the most likely diagnosis?		Angioedema	Melkersson-Rosenthal Syndrome	Cheilitis Glandularis	Crohn's Disease	Option_B	Why: Melkersson-Rosenthal Syndrome is defined by a classic triad: fissured tongue, granulomatous cheilitis (lip swelling), and facial paralysis (Bell's palsy). This patient presents with all three components (history of paralysis, current lip swelling, fissured tongue).  Why not: Angioedema is usually allergic/acute. Cheilitis Glandularis involves salivary glands. Crohn's can cause lip swelling (orofacial granulomatosis) but the specific triad strongly favors Melkersson-Rosenthal.	Melkersson-Rosenthal, Syndrome, Triad	
Q_02	CASE_01	MCQ	Oral Pathology	The tongue condition observed in this patient is most commonly associated with which of the following descriptions?		Geographic Tongue	Median Rhomboid Glossitis	Fissured Tongue	Hairy Tongue	Option_C	Why: The clinical notes describe "deep grooves and furrows," which is characteristic of Fissured Tongue (also called Scrotal Tongue). This is a component of Melkersson-Rosenthal Syndrome.  Why not: Geographic tongue involves migrating red/white patches. Median rhomboid is a fungal infection. Hairy tongue involves filiform papillae elongation.	Fissured Tongue, Tongue, Anatomy	
Q_03	CASE_01	MCQ	Oral Pathology	If a biopsy of the swollen lip were performed, what histological finding would be expected?		Malignant squamous cells	Non-caseating granulomatous inflammation	Cystic cavity lined by epithelium	Ectopic sebaceous glands	Option_B	Why: The lip swelling in Melkersson-Rosenthal Syndrome is technically "Granulomatous Cheilitis," characterized histologically by non-caseating granulomas.  Why not: Ectopic sebaceous glands are Fordyce Granules. Cystic cavities are true cysts. Malignancy is not indicated by this benign syndrome.	Histology, Granulomatous Cheilitis	
Q_04		RAPID_FIRE	Oral Pathology	Leukoedema is a white, edematous lesion on the buccal mucosa that characteristically disappears when the cheek is stretched.		TRUE	FALSE			Option_A	Why: True. This is the classic diagnostic test for Leukoedema. It helps differentiate it from other white lesions like Leukoplakia or Lichen Planus, which do not disappear upon stretching.  Why not: N/A	Leukoedema, Diagnosis	
Q_05		RAPID_FIRE	Oral Pathology	A Stafne Bone Defect is a true cyst located in the posterior mandible above the mandibular canal.		TRUE	FALSE			Option_B	Why: False. A Stafne Bone Defect is a pseudocyst (no epithelial lining) and is classically located below the mandibular canal. It is caused by a lingual concavity of the jaw containing salivary gland tissue.  Why not: N/A	Stafne Bone Defect, Radiography	
Q_06		RAPID_FIRE	Oral Pathology	Traumatic Bone Cysts (Simple Bone Cysts) are distinguished from true cysts by their lack of an epithelial lining.		TRUE	FALSE			Option_A	Why: True. Traumatic Bone Cysts are pseudocysts. They appear as scalloped radiolucencies around roots but do not have the epithelial lining required to be classified as a true cyst.  Why not: N/A	Traumatic Bone Cyst, Pseudocyst	
Q_07	CASE_02	MCQ	Oral Pathology	Based on the location and clinical presentation, what is the most likely diagnosis for this patient?		Branchial Cyst	Thyroglossal Duct Cyst	Stafne Bone Defect	Dermoid Cyst	Option_B	Why: Thyroglossal Duct Cysts present as a midline neck swelling located along the embryonic path of thyroid descent.   Why not: Branchial cysts present as a lateral neck swelling. Stafne defects are in the mandible (bone). Dermoid cysts can be midline but are typically "doughy" and found in the floor of the mouth (above mylohyoid) or upper neck, but the connection to swallowing/tongue movement is classic for Thyroglossal.	Thyroglossal Duct Cyst, Neck Swelling, Differential Diagnosis	
Q_08	CASE_02	MCQ	Embryology	If this lesion is a Thyroglossal Duct Cyst, it represents a failure of complete descent of thyroid tissue originating from which anatomical landmark?		Foramen Ovale	Foramen Cecum	Branchial Arches	Rathke's Pouch	Option_B	Why: The thyroid gland begins development at the foramen cecum (midline base of the tongue) and descends into the neck. A cyst forms if remnants remain along this path.  Why not: Branchial arches are lateral. Rathke's pouch is pituitary. Foramen ovale is a cranial nerve exit.	Embryology, Thyroid, Foramen Cecum	
Q_09	CASE_02	MCQ	Oral Pathology	Which of the following conditions presents as a lateral neck swelling and is considered an epithelial cyst within a lymph node?		Thyroglossal Duct Cyst	Branchial Cyst	Lingual Thyroid	Nasopalatine Duct Cyst	Option_B	Why: The transcript explicitly contrasts Branchial Cysts with Thyroglossal Cysts, noting that Branchial Cysts are lateral neck swellings (related to branchial arches) and are cysts within a lymph node.  Why not: Thyroglossal and Lingual Thyroid are midline. Nasopalatine is in the maxilla.	Branchial Cyst, Lymph Node, Lateral Neck	
Q_10		RAPID_FIRE	Oral Pathology	Fordyce Granules are ectopic sebaceous glands found on the buccal mucosa that require immediate biopsy.		TRUE	FALSE			Option_B	Why: False. While they are ectopic sebaceous glands, the transcript states they are "completely benign, no treatment necessary." They are a variation of normal.  Why not: N/A	Fordyce Granules, Benign, Treatment	
Q_11		RAPID_FIRE	Oral Pathology	A "Globulomaxillary Lesion" is a specific diagnosis for a pear-shaped radiolucency between the maxillary lateral incisor and canine.		TRUE	FALSE			Option_B	Why: False. The transcript emphasizes that "Globulomaxillary lesion" is a clinical description of a location/radiolucency, not a diagnosis itself. It describes any radiolucency in that specific area.  Why not: N/A	Globulomaxillary, Terminology, Diagnosis	
Q_12		RAPID_FIRE	Oral Pathology	Sturge-Weber Syndrome involves angiomas of the leptomeninges and skin along the distribution of the trigeminal nerve.		TRUE	FALSE			Option_A	Why: True. The transcript defines Sturge-Weber by angiomas of the leptomeninges (pia/arachnoid) and the skin (Port Wine Stain) along V1, V2, or V3.  Why not: N/A	Sturge-Weber Syndrome, Angioma, Neurology	
